year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,0
2020,cancers,20,female,total,46
2020,cancers,25,female,total,108
2020,cancers,30,female,total,300
2020,cancers,35,female,total,546
2020,cancers,40,female,total,788
2020,cancers,45,female,total,977
2020,cancers,50,female,total,1094
2020,cancers,55,female,total,1016
2020,cancers,60,female,total,933
2020,cancers,65,female,total,701
2020,cancers,70,female,total,512
2020,cancers,75,female,total,276
2020,cancers,80,female,total,110
2020,cancers,85,female,total,38
